LATITUD,LONGITUD,TIPO,ACTIVIDAD,FECHA
-13.714,-75.9584,EIA-d,Electricidad,2/10/2018
-15.80340055,-74.24742902,ITS,Minería,6/02/2017
-11.2295836,-75.3829728,MEIA-d,Minería,1/03/2019
-15.06298557,-75.04547995,MEIA-d,Electricidad,28/06/2019
-11.84310133,-72.94428641,ITS,Hidrocarburos,29/11/2017
-10.89387181,-77.63046631,Clasificación,Agricultura,16/03/2018
-4.5202,-81.2117,ITS,Hidrocarburos,11/02/2019
-4.48973025,-81.25261248,ITS,Hidrocarburos,18/05/2017
-14.08383574,-72.3111318,ITS,Minería,21/06/2017
-9.5579,-76.7439,Clasificación,Electricidad,8/01/2016
-12.69745206,-76.59507005,ITS,Minería,15/08/2017
-10.6964,-76.388,ITS,Minería,7/11/2016
-7.71255032,-77.63712816,Clasificación,Minería,17/02/2017
-12.2031,-76.912,EIA-d,Electricidad,31/08/2016
-5.2437,-74.3282,ITS,Hidrocarburos,6/12/2016
-15.0532,-75.0562,ITS,Electricidad,3/08/2016
-4.4791,-81.162,ITS,Hidrocarburos,26/10/2018
-6.7658,-78.6297,ITS,Minería,18/06/2018
-11.8096,-72.88,ITS,Hidrocarburos,6/12/2018
-14.2295433,-70.3196724,ITS,Minería,15/11/2017
-14.98482422,-72.31109816,ITS,Minería,10/05/2019
-11.896,-72.8517,ITS,Hidrocarburos,21/03/2019
-10.20644215,-76.96670942,ITS,Minería,4/02/2019
-5.17383413,-80.55471464,ITS,Transportes,6/08/2019
-15.06890465,-71.7471789,Clasificación,Minería,25/03/2019
-12.9412912,-74.79802152,Clasificación,Minería,6/05/2019
-11.18673563,-76.52324721,ITS,Minería,5/06/2019
-15.37769061,-75.01457372,PPC,Electricidad,3/06/2019
-9.54451496,-77.05330294,ITS,Minería,8/07/2019
-16.45616542,-70.31739124,Clasificación,Minería,20/09/2019
-16.5547,-72.3039,ITS,Electricidad,7/07/2016
-11.8591,-72.9402,ITS,Hidrocarburos,8/07/2016
-8.3936,-75.2198,ITS,Hidrocarburos,21/07/2016
-10.44482586,-76.74484375,Clasificación,Minería,9/06/2017
-4.4747,-81.2953,ITS,Hidrocarburos,16/09/2016
-12.6975,-76.5951,ITS,Minería,23/04/2018
-11.9805,-76.8656,Clasificación,Electricidad,8/04/2016
-11.8079,-75.4959,Clasificación,Electricidad,6/05/2016
-15.0581,-75.0515,ITS,Electricidad,19/04/2016
-10.7663,-76.2856,ITS,Minería,10/04/2017
-4.50692855,-81.18751796,ITS,Hidrocarburos,27/10/2017
-3.59901962,-80.73985916,ITS,Hidrocarburos,9/03/2017
-11.59644155,-76.13276867,ITS,Minería,28/04/2017
-11.49420062,-77.27612962,ITS,Minería,12/06/2017
-4.52022958,-81.21173445,ITS,Hidrocarburos,8/06/2017
-7.61210397,-78.20191828,ITS,Minería,10/06/2017
-11.73519681,-72.89122387,ITS,Hidrocarburos,17/03/2017
-13.00621581,-76.3819833,Clasificación,Agricultura,20/03/2019
-4.29463009,-81.21720388,ITS,Hidrocarburos,23/11/2017
-11.8773,-72.9422,MEIA-d,Hidrocarburos,11/02/2016
-4.48062664,-81.16284874,ITS,Hidrocarburos,7/11/2017
-8.56638157,-78.59568743,Clasificación,Agricultura,29/08/2017
-4.55751664,-81.19148859,ITS,Electricidad,8/11/2019
-13.77607194,-76.23162434,ITS,Hidrocarburos,16/01/2020
-12.72351772,-75.07225486,ITS,Minería,31/12/2019
-6.83011186,-78.8986783,ITS,Minería,6/07/2018
-15.27144774,-72.35781806,ITS,Minería,25/07/2018
-6.82124766,-78.88720346,ITS,Minería,22/07/2019
-5.20654696,-81.11903196,ITS,Minería,22/05/2019
-13.15209764,-70.39899865,Clasificación,Transportes,12/09/2020
-13.15209764,-70.39899865,Clasificación,Transportes,14/09/2020
-16.82030385,-70.51375055,Clasificación,Electricidad,10/12/2018
-10.02350048,-76.68010687,Clasificación,Agricultura,5/03/2020
-13.25331979,-73.55360023,Clasificación,Transportes,24/06/2019
-15.1505,-75.0756,ITS,Minería,18/11/2016
-12.7846,-74.9527,Clasificación,Electricidad,9/05/2016
-6.9805174,-78.51516538,ITS,Minería,19/08/2019
-4.33770477,-81.23670977,ITS,Hidrocarburos,7/11/2017
-15.47192546,-71.91102399,ITS,Minería,23/08/2019
-16.5532,-71.5902,ITS,Minería,29/11/2018
-4.28361388,-81.17085359,ITS,Hidrocarburos,15/06/2017
-12.27278464,-76.88952069,Clasificación,Agricultura,22/02/2018
-3.6478432,-81.06450187,ITS,Hidrocarburos,29/03/2019
-10.70727699,-75.8875789,Clasificación,Transportes,3/06/2019
-10.75306818,-75.7632838,Clasificación,Transportes,19/06/2019
-11.6546,-73.0592,ITS,Hidrocarburos,15/03/2018
-15.17721699,-71.83064568,ITS,Minería,31/10/2017
-10.458855,-76.74346984,Clasificación,Minería,9/09/2019
-10.65750133,-76.09179021,Clasificación,Transportes,11/06/2019
-7.71877542,-77.66206078,ITS,Minería,14/10/2019
-5.35948095,-80.99367281,ITS,Hidrocarburos,18/10/2019
-10.96749456,-69.57137146,ITS,Transportes,19/09/2018
-4.27808254,-81.14532234,ITS,Hidrocarburos,30/10/2019
-15.3924,-70.0643,EIA-d,Electricidad,3/02/2016
-14.1004,-71.4344,Clasificación,Electricidad,4/03/2016
-7.94357564,-79.03601737,ITS,Residuos Sólidos,11/03/2019
-13.24466607,-76.29679506,ITS,Hidrocarburos,26/07/2018
-13.14033064,-72.58085565,ITS,Electricidad,18/10/2019
-5.33921969,-81.03101704,ITS,Hidrocarburos,2/03/2020
-11.59769712,-76.17609795,ITS,Minería,9/01/2019
-14.89214738,-70.59636226,Clasificación,Transportes,17/12/2018
-6.28498179,-80.06819479,Clasificación,Agricultura,11/10/2019
-15.05347184,-75.05621473,Clasificación,Electricidad,14/03/2019
-15.40748259,-74.72500859,Clasificación,Agricultura,16/08/2017
-16.64212897,-71.78048138,Clasificación,Electricidad,24/08/2017
-13.77465232,-76.22806521,ITS,Hidrocarburos,12/10/2018
-11.46448235,-73.31433314,ITS,Hidrocarburos,31/12/2018
-5.34591106,-80.98705708,ITS,Hidrocarburos,10/07/2018
-15.1625,-75.0617,ITS,Minería,12/11/2018
-14.0555,-75.6923,Clasificación,Electricidad,8/03/2016
-15.27404788,-75.20848653,Clasificación,Minería,28/09/2017
-6.76675475,-78.63411302,ITS,Minería,28/01/2020
-5.8988517,-78.83737738,ITS,Transportes,26/05/2019
-6.29441556,-77.70731371,Clasificación,Transportes,27/05/2019
-17.09908301,-70.6292903,ITS,Minería,12/04/2019
-17.76055095,-69.81586669,ITS,Minería,3/05/2019
-5.74622971,-77.47876451,ITS,Transportes,8/05/2020
-13.11336116,-70.37537052,ITS,Transportes,26/05/2020
-12.62685157,-73.78659068,Clasificación,Transportes,26/06/2019
-7.7745,-77.5891,MEIA-d,Minería,28/12/2016
-11.69616304,-76.11217599,Clasificación,Electricidad,15/06/2017
-11.38450293,-69.49128764,ITS,Transportes,1/03/2019
-11.101597,-69.56174512,ITS,Transportes,7/03/2019
-5.84332482,-78.23514827,ITS,Transportes,29/01/2019
-11.21758265,-69.54933007,ITS,Transportes,7/03/2019
-11.9856,-77.1015,Clasificación,Electricidad,10/05/2016
-14.682,-73.147,ITS,Minería,14/12/2016
-11.0848,-77.1711,ITS,Electricidad,26/12/2016
-11.0101,-76.41,ITS,Minería,24/11/2016
-16.6699591,-72.29470316,Clasificación,Residuos Sólidos,27/09/2019
-14.944578,-73.25294653,ITS,Minería,23/11/2017
-14.72063189,-73.1811626,ITS,Minería,27/12/2017
-3.6152,-81.0128,ITS,Hidrocarburos,6/04/2018
-4.882,-81.1425,ITS,Hidrocarburos,18/04/2018
-6.9977,-76.728,Clasificación,Electricidad,27/10/2016
-13.5767,-70.4367,ITS,Electricidad,11/05/2016
-13.7791,-76.1745,ITS,Minería,26/04/2016
-11.66495551,-75.78693391,Clasificación,Minería,14/12/2017
-17.2312,-70.86,Clasificación,Electricidad,8/06/2016
-7.89209965,-78.13050296,MEIA-d,Minería,15/02/2017
-11.93047596,-77.00782994,Clasificación,Electricidad,22/12/2016
-6.87826576,-79.79244152,ITS,Minería,23/05/2018
-9.89067892,-76.20433685,Clasificación,Electricidad,28/12/2018
-14.80904508,-71.43007268,Clasificación,Transportes,3/04/2019
-13.11709241,-74.22057003,ITS,Electricidad,27/08/2018
-4.57974246,-81.30185925,ITS,Hidrocarburos,12/03/2020
-10.95418573,-77.47228628,Clasificación,Agricultura,17/07/2018
-14.22957477,-70.32541821,ITS,Minería,2/05/2017
-11.82351803,-72.93665084,ITS,Hidrocarburos,7/04/2017
-8.03887574,-77.44635503,Clasificación,Minería,17/04/2018
-9.5,-77.078,ITS,Minería,19/07/2016
-17.8159,-69.8115,ITS,Minería,25/10/2016
-5.905,-80.4105,ITS,Hidrocarburos,28/10/2016
-7.8953,-78.1362,ITS,Minería,28/10/2016
-16.5532,-71.5902,ITS,Minería,27/12/2017
-11.0101,-76.41,ITS,Minería,16/09/2016
-11.80956715,-72.87995689,ITS,Hidrocarburos,24/03/2017
-12.04393705,-77.12833123,ITS,Minería,31/10/2017
-12.69745209,-76.59507001,ITS,Minería,7/12/2017
-9.31037971,-76.4582175,Clasificación,Electricidad,8/03/2017
-11.9688,-76.7728,Clasificación,Electricidad,22/06/2016
-6.9761,-78.4859,ITS,Minería,28/06/2016
-5.24037274,-79.98636081,ITS,Transportes,5/09/2019
-13.6952,-71.6976,MEIA-d,Electricidad,22/03/2016
-13.6417,-75.5447,ITS,Hidrocarburos,23/02/2016
-16.5532,-71.5902,MEIA-d,Minería,11/02/2016
-12.47109053,-73.07243163,ITS,Hidrocarburos,21/09/2017
-11.69191344,-73.30088121,ITS,Hidrocarburos,3/11/2017
-11.83876767,-72.94742008,ITS,Hidrocarburos,5/09/2017
-11.27233551,-75.32800121,ITS,Electricidad,17/10/2017
-14.4711,-71.7723,ITS,Minería,1/07/2016
-14.2258,-70.3237,ITS,Minería,2/07/2016
-11.50224952,-76.31988958,ITS,Minería,27/11/2018
-13.77735516,-76.22810707,ITS,Hidrocarburos,28/09/2017
-11.0101,-76.41,ITS,Minería,20/09/2018
-15.274,-75.2085,ITS,Minería,26/09/2018
-15.2315,-75.1593,Clasificación,Minería,7/12/2018
-4.28121767,-81.16118187,ITS,Hidrocarburos,13/01/2017
-6.73433487,-78.69104144,ITS,Minería,3/08/2017
-6.76329946,-78.62061249,ITS,Minería,25/09/2017
-15.46485168,-74.90828184,Clasificación,Electricidad,14/02/2017
-11.6613,-76.5035,Clasificación,Electricidad,25/04/2016
-6.73433487,-78.69104144,ITS,Minería,18/06/2018
-15.44615157,-74.9474093,Clasificación,Electricidad,26/06/2017
-10.5793,-76.2155,ITS,Minería,2/12/2019
-12.2132,-73.0767,ITS,Hidrocarburos,25/04/2016
-6.32619989,-77.86909847,Clasificación,Transportes,29/04/2019
-7.61396927,-78.2039437,ITS,Minería,14/11/2019
-9.54451496,-77.05330294,Clasificación,Minería,30/10/2019
-11.83155669,-72.94512506,ITS,Hidrocarburos,11/10/2019
-15.1625,-75.0617,ITS,Minería,20/08/2018
-4.33140322,-81.17951503,ITS,Hidrocarburos,20/04/2018
-10.4578,-76.7469,ITS,Minería,23/04/2018
-14.9546,-71.2618,MEIA-d,Minería,27/04/2018
-3.7036,-80.631,ITS,Hidrocarburos,30/04/2018
-9.9549,-77.0335,Clasificación,Minería,27/05/2016
-8.87111593,-76.47507071,Clasificación,Electricidad,25/07/2017
-11.2267,-74.3612,ITS,Hidrocarburos,29/12/2017
-13.06348195,-74.987972,ITS,Minería,7/11/2017
-6.06786698,-76.97260448,ITS,Electricidad,23/04/2017
-15.2742392,-72.34812065,ITS,Minería,29/06/2017
-13.2571091,-76.31236406,ITS,Hidrocarburos,10/07/2017
-11.84987252,-72.97840637,ITS,Hidrocarburos,8/11/2017
-3.48830546,-80.24917822,IGAPRO,Agricultura,21/10/2019
-5.93489793,-79.28232995,ITS,Transportes,20/02/2019
-13.80450909,-70.4776638,ITS,Transportes,29/10/2019
-13.77912664,-76.17448791,ITS,Minería,25/01/2017
-4.68613935,-81.23100692,ITS,Hidrocarburos,27/01/2017
-4.57665534,-81.28524297,ITS,Hidrocarburos,21/06/2017
-4.68613935,-81.23100692,ITS,Hidrocarburos,30/06/2017
-6.98982411,-78.5410714,ITS,Minería,4/07/2017
-11.58641255,-77.27812268,EIA-d,Transportes,25/02/2020
-11.92349718,-76.673,IGAPRO,Agricultura,31/07/2020
-4.67457406,-81.28962807,ITS,Hidrocarburos,5/08/2020
-13.09060665,-75.99558315,ITS,Minería,7/08/2020
-14.9669,-72.3204,ITS,Minería,8/11/2018
-15.19706491,-71.85063662,ITS,Minería,28/05/2019
-13.67505976,-71.60369033,ITS,Transportes,9/08/2019
-3.58303267,-73.13370767,Clasificación,Transportes,14/08/2019
-11.1009739,-69.56125863,ITS,Transportes,14/08/2019
-12.03996481,-76.9939791,ITS,Transportes,17/04/2019
-9.95012327,-77.05601423,MEIA-d,Minería,29/04/2016
-17.16521559,-70.69422398,ITS,Minería,1/03/2017
-14.5329,-73.3014,ITS,Electricidad,21/03/2016
-6.00264948,-79.1692481,ITS,Transportes,11/10/2018
-11.90912138,-73.96729044,Clasificación,Transportes,4/11/2019
-7.12154124,-79.57943138,Clasificación,Agricultura,6/11/2019
-11.30276426,-72.96531854,Clasificación,Transportes,21/11/2019
-15.16248845,-75.06173559,MEIA-d,Minería,3/02/2017
-9.73926399,-76.79547101,Clasificación,Transportes,31/12/2019
-13.50716669,-70.42443186,EIA-d,Electricidad,31/07/2018
-11.43418988,-69.34086411,ITS,Transportes,27/02/2020
-11.91809723,-69.12348023,ITS,Transportes,28/02/2020
-11.8035,-73.0302,Clasificación,Hidrocarburos,16/12/2016
-14.22957477,-70.32541821,ITS,Minería,27/02/2017
-8.83863417,-75.10423389,ITS,Hidrocarburos,29/03/2017
-6.73433487,-78.69104144,ITS,Minería,7/02/2017
-14.07406315,-72.31043183,MEIA-d,Minería,30/11/2017
-16.20493806,-70.57982855,ITS,Minería,30/11/2017
-16.62430383,-71.87181486,Clasificación,Transportes,3/10/2019
-11.08480857,-77.17109848,ITS,Electricidad,8/06/2017
-11.44025246,-69.3330244,ITS,Transportes,1/10/2019
-12.52690293,-69.40880332,ITS,Transportes,18/10/2019
-15.1505,-75.0756,ITS,Minería,26/09/2016
-11.918,-77.1358,ITS,Hidrocarburos,7/07/2016
-14.5812,-69.3845,ITS,Minería,15/09/2016
-9.8393,-76.0079,EIA-d,Electricidad,16/09/2016
-6.87266482,-79.3585903,ITS,Electricidad,23/02/2017
-11.03638166,-77.11036284,ITS,Electricidad,23/08/2017
-12.11979156,-76.97699832,Clasificación,Electricidad,27/12/2016
-7.8936,-78.132,ITS,Minería,17/05/2016
-10.4579,-76.7465,ITS,Minería,8/06/2016
-6.9898,-78.5411,ITS,Minería,30/11/2017
-6.9761,-78.4859,ITS,Minería,30/11/2017
-10.30733231,-76.1724177,Clasificación,Transportes,21/02/2020
-6.83010821,-78.89867199,ITS,Minería,4/05/2017
-10.78726025,-76.72114929,MEIA-d,Minería,4/05/2017
-11.9672,-76.8828,ITS,Minería,17/08/2016
-11.54034582,-73.1451835,ITS,Hidrocarburos,15/11/2017
-4.4909,-81.2428,ITS,Hidrocarburos,11/08/2016
-12.06613259,-76.97907964,Clasificación,Electricidad,1/05/2019
-8.22850404,-78.98216575,EIA-d,Transportes,2/05/2019
-17.00195803,-72.10108116,ITS,Transportes,3/05/2019
-3.64086648,-73.21923662,ITS,Electricidad,21/11/2019
-3.52686767,-80.23392449,IGAPRO,Agricultura,20/05/2019
-14.91869936,-73.23711362,ITS,Minería,9/07/2019
-14.96308882,-73.23322802,Clasificación,Minería,11/07/2019
-16.6453027,-71.84829881,Clasificación,Residuos Sólidos,27/07/2019
-5.94512761,-79.24083528,ITS,Transportes,10/07/2019
-9.9252686,-76.29542588,ITS,Transportes,19/05/2020
-12.50236024,-74.99229163,Clasificación,Transportes,21/09/2018
-11.82044162,-72.94039131,EIA-d,Hidrocarburos,22/12/2017
-8.54035946,-78.20932057,Clasificación,Transportes,3/07/2018
-17.03838228,-71.9778932,ITS,Electricidad,20/10/2017
-16.98247657,-71.79547395,ITS,Minería,29/12/2017
-4.4617,-81.2866,ITS,Hidrocarburos,3/11/2016
-4.88373171,-74.94230506,ITS,Hidrocarburos,26/03/2019
-12.0452,-77.1323,ITS,Minería,28/03/2019
-12.57526094,-74.38994526,ITS,Minería,9/09/2019
-15.27492198,-72.34836713,ITS,Minería,16/08/2019
-4.9092574,-81.05366671,Clasificación,Hidrocarburos,23/10/2019
-3.64086648,-73.21923662,ITS,Electricidad,31/10/2018
-7.59499228,-78.88960244,Clasificación,Transportes,9/08/2018
-10.45685434,-76.74397015,MEIA-d,Minería,24/09/2018
-7.77450113,-77.58911291,ITS,Minería,28/03/2019
-8.22352494,-77.79365248,ITS,Minería,1/04/2019
-12.39202775,-74.9788315,Clasificación,Minería,17/04/2019
-10.75828603,-76.27104119,ITS,Minería,10/04/2019
-17.49468537,-71.35692056,ITS,Minería,26/04/2019
-15.65185783,-71.84656284,Clasificación,Electricidad,14/07/2020
-13.15209764,-70.39899865,ITS,Minería,18/08/2020
-6.12363936,-76.90296067,ITS,Transportes,10/03/2020
-13.65938825,-71.36089926,ITS,Transportes,2/06/2020
-9.90868177,-77.15682319,Clasificación,Agricultura,22/07/2019
-12.01927739,-76.95032765,Clasificación,Transportes,23/07/2019
-9.28966138,-75.99279245,ITS,Electricidad,10/05/2019
-12.50225678,-74.99228473,Clasificación,Transportes,4/04/2019
-8.18470093,-76.50991198,ITS,Electricidad,29/04/2019
-15.8311,-70.0508,ITS,Electricidad,18/01/2016
-15.27020579,-75.16466209,ITS,Minería,27/02/2020
-14.58986452,-69.38993459,ITS,Minería,12/09/2018
-7.9445874,-78.24752834,ITS,Minería,27/09/2018
-6.7658,-78.6297,MEIA-d,Minería,17/12/2018
-12.94399997,-74.80457437,ITS,Minería,26/04/2019
-17.00504958,-72.09902547,ITS,Minería,3/01/2020
-5.97675665,-79.20571504,ITS,Transportes,24/07/2019
-6.02150556,-78.97596135,ITS,Transportes,25/07/2019
-6.7919397,-79.83084656,Clasificación,Transportes,23/07/2018
-6.00821737,-78.85800693,ITS,Transportes,25/07/2018
-9.41147478,-77.09946566,Clasificación,Transportes,9/08/2018
-11.59644155,-76.13276867,ITS,Minería,20/12/2016
-8.80356492,-77.84703518,ITS,Electricidad,18/07/2017
-16.51871612,-72.44944156,EIA-sd,Residuos Sólidos,20/09/2018
-10.6964,-76.388,ITS,Minería,18/05/2018
-14.5045748,-75.47462657,Clasificación,Electricidad,4/06/2018
-12.9354,-74.8018,ITS,Minería,1/12/2017
-4.90971951,-81.11821108,ITS,Hidrocarburos,29/08/2018
-6.50224472,-76.38889557,ITS,Transportes,10/07/2019
-5.97043324,-78.8508127,ITS,Transportes,3/03/2020
-17.2892,-70.6509,MEIA-d,Electricidad,23/12/2016
-13.5767,-70.4367,ITS,Electricidad,9/04/2018
-16.3973,-71.7152,Clasificación,Agricultura,19/04/2018
-11.5929,-76.1269,ITS,Minería,27/04/2018
-13.39067752,-72.06715109,ITS,Transportes,5/03/2020
-14.72682934,-73.17972761,ITS,Minería,9/09/2018
-10.44032012,-76.28201664,ITS,Minería,15/11/2017
-11.19476065,-76.51995523,ITS,Minería,21/11/2017
-11.62895294,-76.23282912,ITS,Minería,21/11/2017
-10.7663,-76.2856,ITS,Minería,1/03/2018
-3.6398625,-73.21950763,ITS,Hidrocarburos,2/05/2017
-14.2296,-70.3254,MEIA-d,Minería,14/09/2016
-6.6543,-75.5069,Clasificación,Hidrocarburos,28/09/2016
-4.536,-81.2669,ITS,Electricidad,16/05/2016
-5.92930068,-80.53176013,ITS,Electricidad,27/01/2017
-13.7705,-76.229,ITS,Hidrocarburos,17/05/2016
-16.55320085,-71.590166,ITS,Minería,26/01/2017
-8.0457,-77.4513,ITS,Minería,14/10/2016
-12.20313365,-76.91203812,ITS,Electricidad,7/07/2017
-13.57665682,-70.43665613,ITS,Electricidad,13/07/2017
-14.22933763,-70.32579678,ITS,Minería,27/07/2019
-11.0292,-76.4285,MEIA-d,Minería,3/09/2018
-8.55238018,-74.87398359,Clasificación,Agricultura,22/03/2019
-6.97612352,-78.48586496,ITS,Minería,19/01/2017
-13.07208122,-74.98253851,ITS,Minería,27/12/2018
-15.25001665,-70.82776413,ITS,Minería,11/12/2018
-6.99439182,-78.52920291,MEIA-d,Minería,19/12/2019
-12.78431528,-74.20615389,Clasificación,Transportes,1/07/2019
-5.93881035,-77.3180964,Clasificación,Agricultura,4/07/2019
-17.24363886,-71.1886461,Clasificación,Electricidad,17/06/2019
-5.34577057,-80.98726964,ITS,Hidrocarburos,17/06/2019
-13.4061613,-70.90075458,ITS,Transportes,4/08/2018
-17.13433216,-71.77345219,Clasificación,Transportes,3/07/2018
-10.61611424,-76.20517965,ITS,Minería,10/12/2019
-11.59123846,-76.12218276,MEIA-d,Minería,27/06/2019
-14.91869936,-73.23711362,ITS,Minería,14/12/2018
-5.6334736,-79.88137228,ITS,Transportes,15/07/2019
-6.42455468,-76.2881288,ITS,Transportes,4/03/2020
-13.15209764,-70.39899865,ITS,Transportes,27/08/2020
-11.96213824,-76.73850797,Clasificación,Transportes,14/08/2018
-10.50826077,-75.07241493,Clasificación,Transportes,14/08/2018
-5.71793437,-78.48291233,ITS,Transportes,12/02/2019
-7.13948572,-76.75744149,Clasificación,Transportes,15/02/2019
-12.00663241,-77.11823595,ITS,Transportes,9/01/2019
-17.2771053,-71.07162842,Clasificación,Residuos Sólidos,7/12/2018
-11.0317116,-76.42252172,ITS,Minería,30/01/2020
-16.4699932,-71.51414201,ITS,Electricidad,22/03/2019
-14.90795176,-75.08891401,Clasificación,Agricultura,24/10/2019
-4.50845286,-81.26097658,ITS,Hidrocarburos,28/09/2018
-3.59231584,-80.74383898,ITS,Hidrocarburos,16/11/2018
-15.16248845,-75.06173559,ITS,Minería,31/10/2017
-14.22957477,-70.32541821,ITS,Minería,26/07/2017
-17.61102808,-69.66784948,Clasificación,Minería,9/01/2017
